ctZI -2DeltaNLL
-0.55 28.534985567
-0.483 19.2930399069
-0.45 15.5029910647
-0.417 12.217406928
-0.383 9.33522300737
-0.35 7.0009677381
-0.317 5.10342824471
-0.283 3.5586802219
-0.25 2.41099622694
-0.217 1.56088438351
-0.183 0.941413007677
-0.15 0.537416340783
-0.117 0.279693257879
-0.083 0.123071780894
0 0.0
0.083 0.105263530277
0.117 0.249902792275
0.15 0.491723960382
0.183 0.874868810526
0.217 1.46671983204
0.25 2.28451420122
0.283 3.39326776424
0.317 4.89104318258
0.35 6.73889312253
0.383 9.02013444726
0.417 11.8437754029
0.45 15.0670828517
0.483 18.7945987044
0.55 27.9142757525
