ctZI -2DeltaNLL
-0.55 13.152262398
-0.483 7.10867952439
-0.45 4.83946765028
-0.417 3.04223045241
-0.383 1.6702681575
-0.35 0.750301708234
-0.317 0.215475686593
-0.283 0.0
-0.25 0.0590200542938
-0.217 0.308055378264
-0.183 0.712095209863
-0.15 1.16575559089
-0.117 1.62518260744
-0.083 2.03769866005
-0.05 2.33316659695
-0.017 2.50907712849
0 2.54251690302
0.017 2.53303123359
0.05 2.40695496602
0.083 2.14760736423
0.117 1.76326990966
0.15 1.33590817195
0.183 0.913301561726
0.217 0.515572507866
0.25 0.258220649092
0.283 0.188869704492
0.317 0.385434497381
0.35 0.879817860434
0.383 1.76109159109
0.417 3.08906099806
0.45 4.84427312482
0.483 7.0609412801
0.55 12.9976157274
