ctZI -2DeltaNLL
-0.55 13.9778334436
-0.483 7.9342505699
-0.45 5.66503869579
-0.417 3.86780149792
-0.383 2.49583920301
-0.35 1.57587275375
-0.317 0.920389381936
-0.283 0.557199069532
-0.25 0.341024399735
-0.217 0.211143673398
-0.183 0.132735347608
-0.15 0.0954363541678
-0.117 0.0249653453939
-0.083 0.0167334654834
0 0.0
0.083 0.0773502693046
0.117 0.101382319815
0.15 0.189781380352
0.183 0.254893106408
0.217 0.352416351205
0.25 0.509194844402
0.283 0.716689701192
0.317 1.06644367473
0.35 1.70278539788
0.383 2.5866626366
0.417 3.91463204357
0.45 5.66984417033
0.483 7.88651232561
0.55 13.8231867729
