ctZ -2DeltaNLL
-0.55 30.6411699802
-0.483 21.0332109088
-0.45 17.0309095919
-0.417 13.5502400055
-0.383 10.4724406492
-0.35 7.94805177604
-0.317 5.87564532808
-0.283 4.16343367018
-0.25 2.87113869074
-0.217 1.89634511073
-0.183 1.16975283739
-0.15 0.683760987944
-0.117 0.364786798484
-0.083 0.165176526643
-0.05 0.0585759042297
-0.017 0.00923213607166
0 0.0
0.017 -8.96397978067e-08
0.05 0.0260687400587
0.083 0.0921732611023
0.117 0.222397023463
0.15 0.438642834197
0.183 0.781651076279
0.217 1.31656714994
0.25 2.06188385014
0.283 3.08476235461
0.317 4.48062430369
0.35 6.21658113645
0.383 8.37157908676
0.417 11.0720532187
0.45 14.172832511
0.483 17.7688821163
0.55 26.6626143723
