ctZ -2DeltaNLL
-0.6 38.0465726397
-0.55 29.5396676629
-0.483 19.9970802717
-0.45 16.082357611
-0.417 12.6923863625
-0.383 9.7098939016
-0.35 7.29622116394
-0.317 5.32612781471
-0.283 3.70799927332
-0.25 2.50705508573
-0.217 1.6159222821
-0.183 0.965979419416
-0.15 0.543798948987
-0.117 0.277615483268
-0.083 0.119792842539
0 0.0
0.083 0.053854356287
0.117 0.143218122306
0.15 0.304987846408
0.183 0.579093215754
0.217 1.02765424433
0.25 1.6750377873
0.283 2.58451577299
0.317 3.85226936487
0.35 5.45493754337
0.383 7.46828200924
0.417 10.0092319202
0.45 12.9522914158
0.483 16.3950978415
0.55 25.0146447786
0.6 33.7802684461
