ctZ -2DeltaNLL
-0.55 13.4468195974
-0.483 7.39302946045
-0.45 5.07258627983
-0.417 3.22386331228
-0.383 1.7786130039
-0.35 0.808912141947
-0.317 0.23437472689
-0.283 0.0
-0.25 0.0758879955392
-0.217 0.353311443236
-0.183 0.816316624638
-0.15 1.34744352801
-0.117 1.91098113637
-0.083 2.45778520848
-0.05 2.91203772067
-0.017 3.248725062
0 3.36808794853
0.017 3.44237270812
0.05 3.49108261219
0.083 3.39606380626
0.117 3.18833917077
0.15 2.90459851362
0.183 2.60626818729
0.217 2.32486399822
0.25 2.16324346443
0.283 2.14989978448
0.317 2.39324336615
0.35 2.91418143595
0.383 3.8136192509
0.417 5.17616544501
0.45 6.92378389789
0.483 9.1384791201
0.55 15.0831994398
