ctZ -2DeltaNLL
-0.6 21.973472754
-0.55 15.5151477028
-0.483 8.67975748866
-0.45 6.048345997
-0.417 3.93987201806
-0.383 2.27463656152
-0.35 1.10632085428
-0.317 0.395483853994
-0.283 0.041505561443
-0.25 0.0
-0.217 0.0694151453208
-0.183 0.148782001575
-0.15 0.243360714056
-0.117 0.358042904409
-0.083 0.435470373835
0 0.742799434112
0.083 1.02361741918
0.117 1.14707020973
0.15 1.3061139218
0.183 1.42613775027
0.217 1.5708851174
0.25 1.74856822658
0.283 1.924591674
0.317 2.21097607282
0.35 2.81157101109
0.383 3.80113919778
0.417 5.28398684622
0.45 7.19811458862
0.483 9.62326027476
0.55 16.1405829438
0.6 22.2573471991
