ctZ ctZI -2DeltaNLL
-0.6 -0.6 58.4047507357
-0.55 -0.6 52.3552110915
-0.483 -0.6 44.7289267795
-0.45 -0.6 41.266802477
-0.417 -0.6 38.0858215916
-0.383 -0.6 35.0613997795
-0.35 -0.6 32.3781456619
-0.317 -0.6 29.9002759177
-0.283 -0.6 27.7039246224
-0.25 -0.6 25.7916030246
-0.217 -0.6 24.1218569288
-0.183 -0.6 22.7536858635
-0.15 -0.6 21.6243362443
-0.117 -0.6 20.7305828144
-0.083 -0.6 20.0793927896
-0.05 -0.6 19.6731217348
-0.017 -0.6 19.4883629391
0 -0.6 19.4868400777
0.017 -0.6 19.5362821021
0.05 -0.6 19.7925629567
0.083 -0.6 20.2864429767
0.117 -0.6 21.0240360848
0.15 -0.6 21.9788210504
0.183 -0.6 23.1735742236
0.217 -0.6 24.6417751373
0.25 -0.6 26.3293381368
0.283 -0.6 28.2727857975
0.317 -0.6 30.5538801937
0.35 -0.6 33.0376682999
0.383 -0.6 35.7460750903
0.417 -0.6 38.8388050648
0.45 -0.6 41.9708142742
0.483 -0.6 45.4259078738
0.55 -0.6 52.9708894126
0.6 -0.6 59.0302579477
-0.6 -0.55 52.3420606584
-0.55 -0.55 46.0152404001
-0.483 -0.55 38.2959538058
-0.45 -0.55 34.8758168523
-0.417 -0.55 31.670936188
-0.383 -0.55 28.6245891002
-0.35 -0.55 26.0287434957
-0.317 -0.55 23.6542602808
-0.283 -0.55 21.5505096831
-0.25 -0.55 19.7370605012
-0.217 -0.55 18.2185673798
-0.183 -0.55 16.89026974
-0.15 -0.55 15.8485161529
-0.117 -0.55 15.0565230635
-0.083 -0.55 14.4655014176
-0.05 -0.55 14.0959920208
-0.017 -0.55 13.9327724697
0 -0.55 13.9795112535
0.017 -0.55 14.0310262812
0.05 -0.55 14.2993373228
0.083 -0.55 14.7041630689
0.117 -0.55 15.3836267279
0.15 -0.55 16.2674952261
0.183 -0.55 17.3821000753
0.217 -0.55 18.7768293337
0.25 -0.55 20.358288679
0.283 -0.55 22.1911531121
0.317 -0.55 24.3729562322
0.35 -0.55 26.7699170092
0.383 -0.55 29.4398931747
0.417 -0.55 32.4817930937
0.45 -0.55 35.6680708542
0.483 -0.55 39.1756845268
0.55 -0.55 46.8109856108
0.6 -0.55 53.069875567
-0.6 -0.483 44.7252347574
-0.55 -0.483 38.2863908156
-0.483 -0.483 30.5395698443
-0.45 -0.483 27.1343470796
-0.417 -0.483 24.0756412498
-0.383 -0.483 21.194481391
-0.35 -0.483 18.7515968252
-0.317 -0.483 16.5746482306
-0.283 -0.483 14.6278444566
-0.25 -0.483 13.0191173765
-0.217 -0.483 11.6670318434
-0.183 -0.483 10.4779843139
-0.15 -0.483 9.5778050248
-0.117 -0.483 8.8649471954
-0.083 -0.483 8.35586518515
-0.05 -0.483 8.05853270297
-0.017 -0.483 7.92677459726
0 -0.483 7.93592837988
0.017 -0.483 7.98948157369
0.05 -0.483 8.2365534089
0.083 -0.483 8.63616353506
0.117 -0.483 9.25368360826
0.15 -0.483 10.0612751774
0.183 -0.483 11.0606660945
0.217 -0.483 12.3167700521
0.25 -0.483 13.7893685198
0.283 -0.483 15.5126895111
0.317 -0.483 17.4455488971
0.35 -0.483 19.6537708996
0.383 -0.483 22.1376173873
0.417 -0.483 25.0160161355
0.45 -0.483 28.1149509018
0.483 -0.483 31.5229678305
0.55 -0.483 39.2862385714
0.6 -0.483 45.5840072611
-0.6 -0.45 41.2908749706
-0.55 -0.45 34.8450993286
-0.483 -0.45 27.1282778264
-0.45 -0.45 23.8289121869
-0.417 -0.45 20.8105507977
-0.383 -0.45 18.0785127983
-0.35 -0.45 15.6979775508
-0.317 -0.45 13.6221472151
-0.283 -0.45 11.8209375164
-0.25 -0.45 10.2575570643
-0.217 -0.45 8.97145844297
-0.183 -0.45 7.88923239242
-0.15 -0.45 7.0634207793
-0.117 -0.45 6.43800350023
-0.083 -0.45 5.99743216252
-0.05 -0.45 5.74931088206
-0.017 -0.45 5.65593780181
0 -0.45 5.66671650577
